"filename", "language", "HTML", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "YAML", "SCSS", "comment", "blank", "total"
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\styles\evryStyles.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 8, 30
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\theme\theme.ts", "TypeScript", 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 2, 82
"c:\Users\yaman\OneDrive\Masaüstü\final-project\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.json", "JSON with Comments", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.node.json", "JSON", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.node.tsbuildinfo", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yaman\OneDrive\Masaüstü\final-project\tsconfig.tsbuildinfo", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\yaman\OneDrive\Masaüstü\final-project\vercel.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\yaman\OneDrive\Masaüstü\final-project\vite.config.d.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\yaman\OneDrive\Masaüstü\final-project\vite.config.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 1, 15
"c:\Users\yaman\OneDrive\Masaüstü\final-project\vite.config.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 2, 16
"Total", "-", 13, 64, 1730, 24, 40, 40, 7569, 4782, 701, 31, 1948, 16942
